mAP: 0.6431                                                                                                                                                                                               
mATE: 0.2835
mASE: 0.2524
mAOE: 0.2969
mAVE: 0.2798
mAAE: 0.1878
NDS: 0.6915
Eval time: 46.2s

Per-class results:
Object Class            AP      ATE     ASE     AOE     AVE     AAE   
car                     0.871   0.173   0.152   0.088   0.274   0.191 
truck                   0.597   0.321   0.184   0.094   0.247   0.226 
bus                     0.733   0.332   0.187   0.054   0.454   0.243 
trailer                 0.443   0.525   0.216   0.560   0.190   0.161 
construction_vehicle    0.253   0.687   0.408   0.852   0.126   0.324 
pedestrian              0.864   0.131   0.285   0.385   0.224   0.095 
motorcycle              0.689   0.187   0.237   0.241   0.499   0.254 
bicycle                 0.545   0.155   0.250   0.339   0.224   0.010 
traffic_cone            0.740   0.125   0.322   nan     nan     nan   
barrier                 0.697   0.198   0.283   0.059   nan     nan   
